Timestamp,Total_In,Survived,API_Calls_Saved
2026-09-14T10:34:55.191412,1,0,1
2026-09-14T10:34:55.202755,1,1,0
2026-09-14T10:34:55.212232,1,0,1
2026-09-14T10:34:55.223138,1,1,0
2026-09-14T10:34:55.230370,2,0,2
2026-09-14T10:34:55.244471,1,0,1
2026-09-14T10:34:55.246306,1,1,0
2026-09-14T10:35:47.414666,25,2,23
2026-09-14T11:31:41.314552,1,0,1
2026-09-14T11:31:41.335997,1,1,0
2026-09-14T11:31:41.357549,1,0,1
2026-09-14T11:31:41.380688,1,1,0
2026-09-14T11:31:41.407549,2,0,2
2026-09-14T11:31:41.426122,1,0,1
2026-09-14T11:31:41.428132,1,1,0
2026-09-14T12:14:55.128154,1,0,1
2026-09-14T12:14:55.141672,1,1,0
2026-09-14T12:14:55.155458,1,0,1
2026-09-14T12:14:55.169325,1,1,0
2026-09-14T12:14:55.187667,2,0,2
2026-09-14T12:14:55.200592,1,0,1
2026-09-14T12:14:55.203178,1,1,0
2026-09-14T12:18:15.581236,1,0,1
2026-09-14T12:18:15.601781,1,1,0
2026-09-14T12:18:15.618971,1,0,1
2026-09-14T12:18:15.637460,1,1,0
2026-09-14T12:18:15.658785,2,0,2
2026-09-14T12:18:15.685009,1,0,1
2026-09-14T12:18:15.689535,1,1,0
2026-09-14T22:04:15.243494,1,0,1
2026-09-14T22:04:15.263188,1,1,0
2026-09-14T22:04:15.287138,1,0,1
2026-09-14T22:04:15.308366,1,1,0
2026-09-14T22:04:15.328310,2,0,2
2026-09-14T22:04:15.346111,1,0,1
2026-09-14T22:04:15.349106,1,1,0
